id,name,cost,attack,health,ability,evolved_ability,class,type,tribes
10272120,"Achim, Lord of Despair",5,3,3,"Evolve: Select an enemy follower on the field with 4 attack or less, banish it, and summon an exact copy of it.","Evolve: Select an enemy follower on the field with 4 attack or less, banish it, and summon an exact copy of it.",Portalcraft,Follower,
10671310,Advent of the Eld Axe,2,0,0,"Select an enemy follower on the field and deal it 4 damage. If there's an allied follower on the field with a base cost of 5 or more, draw a card.",,Portalcraft,Spell,Encroacher
10641310,Advent of the Eld Blades,4,0,0,"When this card is discarded, if its cost is 4, add an Advent of the Eld Blades to your hand and set its cost to 2.
Select an allied follower on the field and give it +2/+2.",,Dragoncraft,Spell,Encroacher
10631310,Advent of the Eld Crystals,2,0,0,Summon 2 copies of Crystalspawn.,,Runecraft,Spell,Encroacher
10611310,Advent of the Eld Lance,7,0,0,Deal 4 damage to all enemy followers. Summon 2 copies of Springbloom Fairy.,,Forestcraft,Spell,Encroacher
10651310,Advent of the Eld Sight,3,0,0,Draw 2 cards. Necromancy (4) - Restore 2 defense to your leader.,,Abysscraft,Spell,Encroacher
10621310,Advent of the Eld Sword,5,0,0,"Summon 3 copies of Fearless Soldier.
Enhance (7): Give them +2/+2.",,Swordcraft,Spell,Encroacher
10661310,Advent of the Eld Tome,3,0,0,Draw 2 amulets.,,Havencraft,Spell,Encroacher
10002210,Adventurers' Guild,3,0,0,"Fanfare: Draw a follower.
Engage: Destroy this card. Select an allied follower on the field and give it Rush.",,Neutral,Spell,
10632120,Adventurous Grimoire,3,3,3,"Enhance (6): Summon 2 copies of Adventurous Grimoire.
Rush
Last Words: Spellboost your hand.","Enhance (6): Summon 2 copies of Adventurous Grimoire.
Rush
Last Words: Spellboost your hand.",Runecraft,Follower,
10112110,"Aerin, Crystalian Frostward",7,6,8,"Fanfare: Select an enemy follower on the field and destroy it. Restore 2 defense to your leader.
Ward","Fanfare: Select an enemy follower on the field and destroy it. Restore 2 defense to your leader.
Ward",Forestcraft,Follower,
10264110,"Aether, Empyrean Guardian",7,2,4,"Fanfare: Summon 3 random differently named followers that cost 3 or less from your deck.
Ward
Super-Evolve: Give all other allied followers on the field +0/+2 and Aura.","Fanfare: Summon 3 random differently named followers that cost 3 or less from your deck.
Ward
Super-Evolve: Give all other allied followers on the field +0/+2 and Aura.",Havencraft,Follower,
10422110,"Aglovale, Lord of Frost",6,5,3,"Fanfare: Deal 3 damage to all enemy followers.
Intimidate","Fanfare: Deal 3 damage to all enemy followers.
Intimidate",Swordcraft,Follower,
10263110,"Agnes, the Swiftblade",5,3,4,"Storm
Strike: If there are at least 2 allied amulets on the field, destroy a random enemy follower other than the attack target.","Storm
Strike: If there are at least 2 allied amulets on the field, destroy a random enemy follower other than the attack target.",Havencraft,Follower,
10124110,"Albert, Levin Stormsaber",5,3,5,"Enhance (9): Deal 3 damage to all enemy followers. Give this follower ""Can attack 2 times per turn.""
Storm","Enhance (9): Deal 3 damage to all enemy followers. Give this follower ""Can attack 2 times per turn.""
Storm",Swordcraft,Follower,Levin
10433310,Alchemic Flare,2,0,0,Select an enemy follower on the field and deal it 4 damage. Gain an earth sigil. Skybound Art - Deal 2 damage to the enemy leader.,,Runecraft,Spell,
10413310,Alfheimr,2,0,0,"Select a Mode to activate. Super Skybound Art - Activate all of them instead.
1. Draw a card. Restore 1 defense to your leader.
2. Give all allied followers on the field +1/+0 and Rush.
3. Give all allied followers on the field +0/+1 and Ward.",,Forestcraft,Spell,
10652310,Allure of the Mightiest,7,0,0,"Select an enemy follower on the field, banish it, and summon an exact copy of it.",,Abysscraft,Spell,
10451110,"Almeida, Headstrong Miner",2,3,1,"Enhance (4): Evolve this follower and give it +1/+1.
Rush","Enhance (4): Evolve this follower and give it +1/+1.
Rush",Abysscraft,Follower,
10173140,"Alouette, Doomwright Ward",5,2,4,"Fanfare: Add a Gear of Ambition and Gear of Remembrance to your hand.
Evolve: Select an Artifact follower in your hand that costs 5 or less and summon an exact copy of it.","Fanfare: Add a Gear of Ambition and Gear of Remembrance to your hand.
Evolve: Select an Artifact follower in your hand that costs 5 or less and summon an exact copy of it.",Portalcraft,Follower,
10614110,"Althenia, Nurturing Bloom",8,7,7,"Fanfare: Summon 3 copies of Springbloom Fairy.
Can attack 2 times per turn.
Super-Evolve: Select an enemy follower on the field and destroy it.","Fanfare: Summon 3 copies of Springbloom Fairy.
Can attack 2 times per turn.
Super-Evolve: Select an enemy follower on the field and destroy it.",Forestcraft,Follower,
10521110,Altruistic Aristocrat,6,4,6,"Fanfare: Select a card in your hand and discard it. Restore 3 defense to your leader. If you selected a spell, restore 6 defense instead.","Fanfare: Select a card in your hand and discard it. Restore 3 defense to your leader. If you selected a spell, restore 6 defense instead.",Swordcraft,Follower,
10123140,"Amalia, Luxsteel Paladin",8,6,6,"Fanfare: Summon 4 copies of Steelclad Knight.
Whenever another allied follower enters the field, give it +1/+0, Rush, and Ward.","Fanfare: Summon 4 copies of Steelclad Knight.
Whenever another allied follower enters the field, give it +1/+0, Rush, and Ward.",Swordcraft,Follower,
10114130,"Amataz, Origin Blader",3,2,2,"Fanfare: Give this follower +X/+X. X is the number of Pixie followers in your hand.
Ward
Evolve: Do this X times: ""Deal 1 damage to a random enemy follower."" X is the number of Pixie followers in your hand.","Fanfare: Give this follower +X/+X. X is the number of Pixie followers in your hand.
Ward
Evolve: Do this X times: ""Deal 1 damage to a random enemy follower."" X is the number of Pixie followers in your hand.",Forestcraft,Follower,
10212310,Ambush from Above,1,0,0,"Do this 1 time: ""Deal 2 damage to a random enemy follower."" Combo (3) - Do it 2 times instead.",,Forestcraft,Spell,
10124120,"Amelia, Silver Captain",6,4,4,"Fanfare: Draw 2 Swordcraft followers. Recover 3 play points.
Super-Evolve: Give all other allied Swordcraft followers on the field Barrier.","Fanfare: Draw 2 Swordcraft followers. Recover 3 play points.
Super-Evolve: Give all other allied Swordcraft followers on the field Barrier.",Swordcraft,Follower,
10052120,Amorous Necromancer,4,5,4,"Evolve: Summon 2 copies of Ghost.
Super-Evolve: Give them Drain.","Evolve: Summon 2 copies of Ghost.
Super-Evolve: Give them Drain.",Abysscraft,Follower,
10522120,Amphibian Goldmuncher,7,5,5,"At the end of your turn, if you have at least 2 spells in your hand, deal 5 damage to all enemy followers.
Evolve: Add 2 copies of Glittering Gold to your hand.","At the end of your turn, if you have at least 2 spells in your hand, deal 5 damage to all enemy followers.
Evolve: Add 2 copies of Glittering Gold to your hand.",Swordcraft,Follower,
10022210,Ancestral Crown,4,0,0,"Countdown (4)
Whenever an allied follower enters the field, give it +1/+1.",,Swordcraft,Amulet,
10173210,Ancient Cannon,5,0,0,"Fanfare: Add a Gear of Ambition to your hand.
Whenever you Fuse, deal 2 damage to a random enemy follower.",,Portalcraft,Spell,
10161110,Angelic Prism Priestess,3,2,2,"Fanfare: Draw an amulet.
Evolve: Select an amulet in your hand and reduce its cost by 1.","Fanfare: Draw an amulet.
Evolve: Select an amulet in your hand and reduce its cost by 1.",Havencraft,Follower,
10134120,"Anne & Grea, Mysterian Duo",5,4,4,"Fanfare: Summon an Anne's Summoning. Spellboost your hand 3 times.
Evolve: Select an enemy follower on the field and deal it 3 damage.","Fanfare: Summon an Anne's Summoning. Spellboost your hand 3 times.
Evolve: Select an enemy follower on the field and deal it 3 damage.",Runecraft,Follower,Mysteria
90034130,Anne's Summoning,3,5,5,"Rush
Ward
At the end of your opponent's turn, destroy this card.","Rush
Ward
At the end of your opponent's turn, destroy this card.",Runecraft,Follower,Mysteria
90014320,Annihilating Onslaught,6,0,0,"Activates in hand. At the end of your turn, reduce the cost of this card by 1.
Deal 6 damage to the enemy leader. If there's an allied Izudia, Annihilation Manifest on the field, deal 20 damage instead.",,Forestcraft,Spell,
10412120,"Anthuria, Toe-Tapping Torch",5,5,4,Fanfare: Give all allied followers on the field Barrier.,Fanfare: Give all allied followers on the field Barrier.,Forestcraft,Follower,
10102110,"Apollo, Heaven's Envoy",3,1,2,"Fanfare: Deal 1 damage to all enemy followers.
Evolve: Replicate the effects of this card's Fanfare ability.","Fanfare: Deal 1 damage to all enemy followers.
Evolve: Replicate the effects of this card's Fanfare ability.",Neutral,Follower,
10301110,Apostle of Voracity,4,2,2,Fanfare: Select another follower on the field and give it +4/-4.,Fanfare: Select another follower on the field and give it +4/-4.,Neutral,Follower,
10131120,Apprentice Astrologer,2,2,2,Fanfare: Select a card in your hand and return it to deck. Draw a card. Gain an earth sigil.,Fanfare: Select a card in your hand and return it to deck. Draw a card. Gain an earth sigil.,Runecraft,Follower,
10534120,"Ara, Dawnblossom",10,4,4,"On Spellboost: Reduce the cost of this card by 1.
Fanfare: Select an enemy follower on the field and deal it 10 damage.
Evolve: Select another follower on the field and transform it into a Regal Falcon.","On Spellboost: Reduce the cost of this card by 1.
Fanfare: Select an enemy follower on the field and deal it 10 damage.
Evolve: Select another follower on the field and transform it into a Regal Falcon.",Runecraft,Follower,
10154130,"Aragavy, Eternal Hunter",5,4,3,"Fanfare: Deal 7 damage split between all enemy followers.
Evolve: Deal 3 damage to both leaders.","Fanfare: Deal 7 damage split between all enemy followers.
Evolve: Deal 3 damage to both leaders.",Abysscraft,Follower,
10231120,Arcane Archivist,2,2,2,Fanfare: Select a card in your hand and return it to deck. Draw a spell.,Fanfare: Select a card in your hand and return it to deck. Draw a spell.,Runecraft,Follower,
10032310,Arcane Eruption,4,0,0,Deal 2 damage to all followers. Earth Rite (1) - Draw a card.,,Runecraft,Spell,
10114110,"Aria, Lady of the Woods",6,4,4,"Fanfare: Gain Crest: Aria, Lady of the Woods.
Evolve: Summon 3 copies of Fairy.","Fanfare: Gain Crest: Aria, Lady of the Woods.
Evolve: Summon 3 copies of Fairy.",Forestcraft,Follower,
10654110,"Armes, Depletive Demon",9,10,10,"Aura
Can't be destroyed by abilities.
Clash: Destroy the opposing follower.
Super-Evolve: Give this follower ""Can attack 3 times per turn.""","Aura
Can't be destroyed by abilities.
Clash: Destroy the opposing follower.
Super-Evolve: Give this follower ""Can attack 3 times per turn.""",Abysscraft,Follower,
10021120,Arms Peddler,4,3,2,"Rush
Last Words: Draw a card.","Rush
Last Words: Draw a card.",Swordcraft,Follower,
10002110,"Arriet, Luxminstrel",3,3,3,"Evolve: Restore 2 defense to your leader.
Super-Evolve: Restore 4 defense instead.","Evolve: Restore 2 defense to your leader.
Super-Evolve: Restore 4 defense instead.",Neutral,Follower,
90034320,Ars Magna,1,0,0,Select an enemy and deal it 2 damage. Restore 1 defense to your leader.,,Runecraft,Spell,
10421120,"Arthur, Staunch Dragon",3,2,3,"Ward
Evolve: Summon a Mordred, Illusory Lion.","Ward
Evolve: Summon a Mordred, Illusory Lion.",Swordcraft,Follower,
10271210,Artifact Catapult,2,0,0,"Fanfare: Add a Gear of Ambition to your hand.
Engage (3): Destroy this card. Select an Artifact follower in your hand that costs 5 or less, summon an exact copy of it, and give the exact copy ""At the end of your opponent's turn, destroy this card.""",,Portalcraft,Spell,
10171320,Artifact Recharge,1,0,0,Add a Gear of Ambition and Gear of Remembrance to your hand.,,Portalcraft,Spell,
10151110,"Aryll, Moonstruck Vampire",3,1,1,"Fanfare: Summon a Bat.
Whenever an allied Bat enters the field, give it Storm and deal 1 damage to your leader.","Fanfare: Summon a Bat.
Whenever an allied Bat enters the field, give it Storm and deal 1 damage to your leader.",Abysscraft,Follower,
10331120,Ascetic of Wuxing,4,3,3,"Fanfare: Summon a Paper Shikigami.
Evolve: Replicate the effects of this card's Fanfare ability.","Fanfare: Summon a Paper Shikigami.
Evolve: Replicate the effects of this card's Fanfare ability.",Runecraft,Follower,
90004310,Astaroth's Reckoning,10,0,0,Set the enemy leader's max defense to 1.,,Neutral,Spell,
10061210,Avian Statue,4,0,0,"Countdown (2)
Last Words: Summon a Regal Falcon.
Engage (2): Advance this amulet's count by 2.",,Havencraft,Amulet,
